Time,BreathingWaveform
17/08/2017 08:20:29.932,6431562
17/08/2017 08:20:29.972,6433770
17/08/2017 08:20:30.012,6432876
17/08/2017 08:20:30.052,6435768
17/08/2017 08:20:30.092,6435032
17/08/2017 08:20:30.132,6431877
17/08/2017 08:20:30.172,6431825
17/08/2017 08:20:30.212,6430090
17/08/2017 08:20:30.252,6428828
17/08/2017 08:20:30.292,6426568
17/08/2017 08:20:30.332,6425516
17/08/2017 08:20:30.372,6428355
17/08/2017 08:20:30.412,6428723
17/08/2017 08:20:30.452,6428355
17/08/2017 08:20:30.492,6429301
17/08/2017 08:20:30.532,6430300
17/08/2017 08:20:30.572,6432298
17/08/2017 08:20:30.612,6430353
17/08/2017 08:20:30.652,6427672
17/08/2017 08:20:30.692,6429301
17/08/2017 08:20:30.732,6432298
17/08/2017 08:20:30.772,6434086
17/08/2017 08:20:30.812,6434453
17/08/2017 08:20:30.852,6436188
17/08/2017 08:20:30.892,6430773
17/08/2017 08:20:30.932,6425411
17/08/2017 08:20:30.972,6428092
17/08/2017 08:20:31.012,6444126
17/08/2017 08:20:31.052,6443811
17/08/2017 08:20:31.092,6438449
17/08/2017 08:20:31.132,6432771
17/08/2017 08:20:31.172,6440131
17/08/2017 08:20:31.212,6453379
17/08/2017 08:20:31.252,6446702
17/08/2017 08:20:31.292,6451907
17/08/2017 08:20:31.332,6460266
17/08/2017 08:20:31.372,6456428
17/08/2017 08:20:31.412,6452643
17/08/2017 08:20:31.452,6446334
17/08/2017 08:20:31.492,6422730
17/08/2017 08:20:31.532,6414214
17/08/2017 08:20:31.572,6419471
17/08/2017 08:20:31.612,6422783
17/08/2017 08:20:31.652,6419313
17/08/2017 08:20:31.692,6421206
17/08/2017 08:20:31.732,6421469
17/08/2017 08:20:31.772,6422362
17/08/2017 08:20:31.812,6420890
17/08/2017 08:20:31.852,6419944
17/08/2017 08:20:31.892,6419260
17/08/2017 08:20:31.932,6421206
17/08/2017 08:20:31.972,6422572
17/08/2017 08:20:32.012,6435820
17/08/2017 08:20:32.052,6438870
17/08/2017 08:20:32.092,6440184
17/08/2017 08:20:32.132,6453537
17/08/2017 08:20:32.172,6451013
17/08/2017 08:20:32.212,6453537
17/08/2017 08:20:32.252,6501008
17/08/2017 08:20:32.292,6457269
17/08/2017 08:20:32.332,6526925
17/08/2017 08:20:32.372,6569350
17/08/2017 08:20:32.412,6593532
17/08/2017 08:20:32.452,6584280
17/08/2017 08:20:32.492,6564776
17/08/2017 08:20:32.532,6509682
17/08/2017 08:20:32.572,6468099
17/08/2017 08:20:32.612,6456743
17/08/2017 08:20:32.652,6458741
17/08/2017 08:20:32.692,6462526
17/08/2017 08:20:32.732,6464156
17/08/2017 08:20:32.772,6457795
17/08/2017 08:20:32.812,6466048
17/08/2017 08:20:32.852,6512363
17/08/2017 08:20:32.892,6561096
17/08/2017 08:20:32.932,6589800
17/08/2017 08:20:32.972,6630805
17/08/2017 08:20:33.012,6648311
17/08/2017 08:20:33.052,6652832
17/08/2017 08:20:33.092,6670338
17/08/2017 08:20:33.132,6688527
17/08/2017 08:20:33.172,6707032
17/08/2017 08:20:33.212,6719649
17/08/2017 08:20:33.252,6723960
17/08/2017 08:20:33.292,6728586
17/08/2017 08:20:33.332,6744252
17/08/2017 08:20:33.372,6754871
17/08/2017 08:20:33.412,6758972
17/08/2017 08:20:33.452,6762967
17/08/2017 08:20:33.492,6767225
17/08/2017 08:20:33.532,6770380
17/08/2017 08:20:33.572,6773902
17/08/2017 08:20:33.612,6776898
17/08/2017 08:20:33.652,6779842
17/08/2017 08:20:33.692,6783890
17/08/2017 08:20:33.732,6786624
17/08/2017 08:20:33.772,6791934
17/08/2017 08:20:33.812,6795929
17/08/2017 08:20:33.852,6799399
17/08/2017 08:20:33.892,6803972
17/08/2017 08:20:33.932,6805392
17/08/2017 08:20:33.972,6807652
17/08/2017 08:20:34.012,6811753
17/08/2017 08:20:34.052,6819112
17/08/2017 08:20:34.092,6823003
17/08/2017 08:20:34.132,6825106
17/08/2017 08:20:34.172,6823055
17/08/2017 08:20:34.212,6822372
17/08/2017 08:20:34.252,6821689
17/08/2017 08:20:34.292,6823844
17/08/2017 08:20:34.332,6823266
17/08/2017 08:20:34.372,6822635
17/08/2017 08:20:34.412,6823791
17/08/2017 08:20:34.452,6828207
17/08/2017 08:20:34.492,6830468
17/08/2017 08:20:34.532,6831099
17/08/2017 08:20:34.572,6832045
17/08/2017 08:20:34.612,6830152
17/08/2017 08:20:34.652,6827208
17/08/2017 08:20:34.692,6817851
17/08/2017 08:20:34.732,6797769
17/08/2017 08:20:34.772,6777161
17/08/2017 08:20:34.812,6770064
17/08/2017 08:20:34.852,6765596
17/08/2017 08:20:34.892,6757763
17/08/2017 08:20:34.932,6741361
17/08/2017 08:20:34.972,6720911
17/08/2017 08:20:35.012,6683901
17/08/2017 08:20:35.052,6645840
17/08/2017 08:20:35.092,6605676
17/08/2017 08:20:35.132,6597002
17/08/2017 08:20:35.172,6767330
17/08/2017 08:20:35.212,6821899
17/08/2017 08:20:35.252,6861853
17/08/2017 08:20:35.292,6932823
17/08/2017 08:20:35.332,6997800
17/08/2017 08:20:35.372,7024979
17/08/2017 08:20:35.412,7045482
17/08/2017 08:20:35.452,7090850
17/08/2017 08:20:35.492,7110091
17/08/2017 08:20:35.532,7111826
17/08/2017 08:20:35.572,7092059
17/08/2017 08:20:35.612,7101680
17/08/2017 08:20:35.652,7103677
17/08/2017 08:20:35.692,7098630
17/08/2017 08:20:35.732,7092690
17/08/2017 08:20:35.772,7063776
17/08/2017 08:20:35.812,7018881
17/08/2017 08:20:35.852,6921783
17/08/2017 08:20:35.892,6811122
17/08/2017 08:20:35.932,6784258
17/08/2017 08:20:35.972,6710449
17/08/2017 08:20:36.012,6728113
17/08/2017 08:20:36.052,6738259
17/08/2017 08:20:36.092,6749561
17/08/2017 08:20:36.132,6768539
17/08/2017 08:20:36.172,6792354
17/08/2017 08:20:36.212,6831151
17/08/2017 08:20:36.252,6856543
17/08/2017 08:20:36.292,6864954
17/08/2017 08:20:36.332,6858856
17/08/2017 08:20:36.372,6842769
17/08/2017 08:20:36.412,6833832
17/08/2017 08:20:36.452,6831099
17/08/2017 08:20:36.492,6830626
17/08/2017 08:20:36.532,6826209
17/08/2017 08:20:36.572,6823108
17/08/2017 08:20:36.612,6817220
17/08/2017 08:20:36.652,6830888
17/08/2017 08:20:36.692,6825316
17/08/2017 08:20:36.732,6808441
17/08/2017 08:20:36.772,6807126
17/08/2017 08:20:36.812,6802343
17/08/2017 08:20:36.852,6800555
17/08/2017 08:20:36.892,6804708
17/08/2017 08:20:36.932,6809229
17/08/2017 08:20:36.972,6811700
17/08/2017 08:20:37.012,6817062
17/08/2017 08:20:37.052,6818219
17/08/2017 08:20:37.092,6821110
17/08/2017 08:20:37.132,6820006
17/08/2017 08:20:37.172,6818061
17/08/2017 08:20:37.212,6815433
17/08/2017 08:20:37.252,6813330
17/08/2017 08:20:37.292,6814749
17/08/2017 08:20:37.332,6818061
17/08/2017 08:20:37.372,6824422
17/08/2017 08:20:37.412,6833885
17/08/2017 08:20:37.452,6840351
17/08/2017 08:20:37.492,6846870
17/08/2017 08:20:37.532,6847921
17/08/2017 08:20:37.572,6846344
17/08/2017 08:20:37.612,6846554
17/08/2017 08:20:37.652,6847080
17/08/2017 08:20:37.692,6848184
17/08/2017 08:20:37.732,6850655
17/08/2017 08:20:37.772,6853126
17/08/2017 08:20:37.812,6855176
17/08/2017 08:20:37.852,6855912
17/08/2017 08:20:37.892,6858908
17/08/2017 08:20:37.932,6862273
17/08/2017 08:20:37.972,6866321
17/08/2017 08:20:38.012,6869317
17/08/2017 08:20:38.052,6870159
17/08/2017 08:20:38.092,6871210
17/08/2017 08:20:38.132,6872051
17/08/2017 08:20:38.172,6873996
17/08/2017 08:20:38.212,6877256
17/08/2017 08:20:38.252,6879043
17/08/2017 08:20:38.292,6881934
17/08/2017 08:20:38.332,6883985
17/08/2017 08:20:38.372,6887928
17/08/2017 08:20:38.412,6889610
17/08/2017 08:20:38.452,6888138
17/08/2017 08:20:38.492,6890819
17/08/2017 08:20:38.532,6891292
17/08/2017 08:20:38.572,6894131
17/08/2017 08:20:38.612,6899809
17/08/2017 08:20:38.652,6902437
17/08/2017 08:20:38.692,6907011
17/08/2017 08:20:38.732,6909639
17/08/2017 08:20:38.772,6914213
17/08/2017 08:20:38.812,6915106
17/08/2017 08:20:38.852,6917525
17/08/2017 08:20:38.892,6916368
17/08/2017 08:20:38.932,6912846
17/08/2017 08:20:38.972,6911426
17/08/2017 08:20:39.012,6913372
17/08/2017 08:20:39.052,6914738
17/08/2017 08:20:39.092,6913056
17/08/2017 08:20:39.132,6911006
17/08/2017 08:20:39.172,6907168
17/08/2017 08:20:39.212,6903699
17/08/2017 08:20:39.252,6901228
17/08/2017 08:20:39.292,6898599
17/08/2017 08:20:39.332,6892501
17/08/2017 08:20:39.372,6876204
17/08/2017 08:20:39.412,6850602
17/08/2017 08:20:39.452,6839825
17/08/2017 08:20:39.492,6835778
17/08/2017 08:20:39.532,6834674
17/08/2017 08:20:39.572,6833727
17/08/2017 08:20:39.612,6829995
17/08/2017 08:20:39.652,6823844
17/08/2017 08:20:39.692,6816957
17/08/2017 08:20:39.732,6806075
17/08/2017 08:20:39.772,6792407
17/08/2017 08:20:39.812,6781998
17/08/2017 08:20:39.852,6771326
17/08/2017 08:20:39.892,6764439
17/08/2017 08:20:39.932,6755975
17/08/2017 08:20:39.972,6749404
17/08/2017 08:20:40.012,6743200
17/08/2017 08:20:40.052,6739416
17/08/2017 08:20:40.092,6735893
17/08/2017 08:20:40.132,6736629
17/08/2017 08:20:40.172,6735525
17/08/2017 08:20:40.212,6733685
17/08/2017 08:20:40.252,6734211
17/08/2017 08:20:40.292,6736839
17/08/2017 08:20:40.332,6736051
17/08/2017 08:20:40.372,6734369
17/08/2017 08:20:40.412,6735473
17/08/2017 08:20:40.452,6735735
17/08/2017 08:20:40.492,6737102
17/08/2017 08:20:40.532,6736261
17/08/2017 08:20:40.572,6736314
17/08/2017 08:20:40.612,6737471
17/08/2017 08:20:40.652,6738049
17/08/2017 08:20:40.692,6738154
17/08/2017 08:20:40.732,6739363
17/08/2017 08:20:40.772,6741308
17/08/2017 08:20:40.812,6741676
17/08/2017 08:20:40.852,6742307
17/08/2017 08:20:40.892,6744673
17/08/2017 08:20:40.932,6745146
17/08/2017 08:20:40.972,6744620
17/08/2017 08:20:41.012,6745514
17/08/2017 08:20:41.052,6747406
17/08/2017 08:20:41.092,6748247
17/08/2017 08:20:41.132,6750297
17/08/2017 08:20:41.172,6750876
17/08/2017 08:20:41.212,6753820
17/08/2017 08:20:41.252,6755870
17/08/2017 08:20:41.292,6757605
17/08/2017 08:20:41.332,6758814
17/08/2017 08:20:41.372,6759655
17/08/2017 08:20:41.412,6760181
17/08/2017 08:20:41.452,6760128
17/08/2017 08:20:41.492,6759497
17/08/2017 08:20:41.532,6760654
17/08/2017 08:20:41.572,6761442
17/08/2017 08:20:41.612,6761022
17/08/2017 08:20:41.652,6762652
17/08/2017 08:20:41.692,6763072
17/08/2017 08:20:41.732,6763703
17/08/2017 08:20:41.772,6762546
17/08/2017 08:20:41.812,6761916
17/08/2017 08:20:41.852,6760707
17/08/2017 08:20:41.892,6759077
17/08/2017 08:20:41.932,6756974
17/08/2017 08:20:41.972,6752979
17/08/2017 08:20:42.012,6750771
17/08/2017 08:20:42.052,6748300
17/08/2017 08:20:42.092,6746723
17/08/2017 08:20:42.132,6744725
17/08/2017 08:20:42.172,6743358
17/08/2017 08:20:42.212,6741045
17/08/2017 08:20:42.252,6740046
17/08/2017 08:20:42.292,6737996
17/08/2017 08:20:42.332,6736787
17/08/2017 08:20:42.372,6735893
17/08/2017 08:20:42.412,6735000
17/08/2017 08:20:42.452,6733685
17/08/2017 08:20:42.492,6732108
17/08/2017 08:20:42.532,6731845
17/08/2017 08:20:42.572,6731740
17/08/2017 08:20:42.612,6731425
17/08/2017 08:20:42.652,6731530
17/08/2017 08:20:42.692,6731845
17/08/2017 08:20:42.732,6730583
17/08/2017 08:20:42.772,6729427
17/08/2017 08:20:42.812,6729217
17/08/2017 08:20:42.852,6729480
17/08/2017 08:20:42.892,6731372
17/08/2017 08:20:42.932,6734842
17/08/2017 08:20:42.972,6737996
17/08/2017 08:20:43.012,6738890
17/08/2017 08:20:43.052,6741834
17/08/2017 08:20:43.092,6746881
17/08/2017 08:20:43.132,6744305
17/08/2017 08:20:43.172,6739153
17/08/2017 08:20:43.212,6735000
17/08/2017 08:20:43.252,6732319
17/08/2017 08:20:43.292,6730110
17/08/2017 08:20:43.332,6731109
17/08/2017 08:20:43.372,6730794
17/08/2017 08:20:43.412,6729269
17/08/2017 08:20:43.452,6729532
17/08/2017 08:20:43.492,6727850
17/08/2017 08:20:43.532,6727114
17/08/2017 08:20:43.572,6726220
17/08/2017 08:20:43.612,6725169
17/08/2017 08:20:43.652,6722172
17/08/2017 08:20:43.692,6716442
17/08/2017 08:20:43.732,6711816
17/08/2017 08:20:43.772,6712552
17/08/2017 08:20:43.812,6713078
17/08/2017 08:20:43.852,6724643
17/08/2017 08:20:43.892,6726851
17/08/2017 08:20:43.932,6731425
17/08/2017 08:20:43.972,6729953
17/08/2017 08:20:44.012,6728323
17/08/2017 08:20:44.052,6729742
17/08/2017 08:20:44.092,6735473
17/08/2017 08:20:44.132,6739468
17/08/2017 08:20:44.172,6742044
17/08/2017 08:20:44.212,6743253
17/08/2017 08:20:44.252,6745671
17/08/2017 08:20:44.292,6746670
17/08/2017 08:20:44.332,6747722
17/08/2017 08:20:44.372,6749614
17/08/2017 08:20:44.412,6751717
17/08/2017 08:20:44.452,6752768
17/08/2017 08:20:44.492,6752874
17/08/2017 08:20:44.532,6754503
17/08/2017 08:20:44.572,6756291
17/08/2017 08:20:44.612,6758867
17/08/2017 08:20:44.652,6759077
17/08/2017 08:20:44.692,6759445
17/08/2017 08:20:44.732,6760496
