0,A,2017-05-01 16:38:26.017
0,R,2017-05-01 16:38:26.150
1,A,2017-05-01 16:38:26.191
1,R,2017-05-01 16:38:26.309
0,O,2017-05-01 16:38:26.340
0,U,2017-05-01 16:38:26.400
1,O,2017-05-01 16:38:26.424
1,U,2017-05-01 16:38:26.510
0,N,2017-05-01 16:38:26.619
1,N,2017-05-01 16:38:26.737
0,D,2017-05-01 16:38:26.753
0,Space,2017-05-01 16:38:26.918
1,D,2017-05-01 16:38:26.944
0,A,2017-05-01 16:38:27.108
1,Space,2017-05-01 16:38:27.123
0,B,2017-05-01 16:38:27.263
1,A,2017-05-01 16:38:27.278
0,O,2017-05-01 16:38:27.384
1,B,2017-05-01 16:38:27.447
0,U,2017-05-01 16:38:27.453
1,O,2017-05-01 16:38:27.495
0,T,2017-05-01 16:38:27.590
1,U,2017-05-01 16:38:27.605
1,T,2017-05-01 16:38:27.751
0,Space,2017-05-01 16:38:27.767
1,Space,2017-05-01 16:38:27.911
0,F,2017-05-01 16:38:27.958
1,F,2017-05-01 16:38:28.061
0,E,2017-05-01 16:38:28.123
0,W,2017-05-01 16:38:28.302
1,E,2017-05-01 16:38:28.317
1,W,2017-05-01 16:38:28.470
0,Space,2017-05-01 16:38:28.486
0,S,2017-05-01 16:38:28.660
1,Space,2017-05-01 16:38:28.675
0,E,2017-05-01 16:38:28.796
1,S,2017-05-01 16:38:28.839
0,T,2017-05-01 16:38:28.965
1,E,2017-05-01 16:38:29.008
0,Space,2017-05-01 16:38:29.124
1,T,2017-05-01 16:38:29.140
1,Space,2017-05-01 16:38:29.341
0,C,2017-05-01 16:38:29.466
1,C,2017-05-01 16:38:29.645
0,I,2017-05-01 16:38:29.895
1,I,2017-05-01 16:38:30.010
0,R,2017-05-01 16:38:30.120
1,R,2017-05-01 16:38:30.261
0,C,2017-05-01 16:38:30.402
0,L,2017-05-01 16:38:30.533
1,C,2017-05-01 16:38:30.548
0,E,2017-05-01 16:38:30.662
1,L,2017-05-01 16:38:30.678
0,Space,2017-05-01 16:38:30.748
1,E,2017-05-01 16:38:30.849
0,I,2017-05-01 16:38:30.881
1,Space,2017-05-01 16:38:30.952
0,N,2017-05-01 16:38:31.024
1,I,2017-05-01 16:38:31.072
0,T,2017-05-01 16:38:31.082
1,N,2017-05-01 16:38:31.233
1,T,2017-05-01 16:38:31.264
0,O,2017-05-01 16:38:31.327
1,O,2017-05-01 16:38:31.523
0,Space,2017-05-01 16:38:31.538
0,T,2017-05-01 16:38:31.660
0,H,2017-05-01 16:38:31.746
1,Space,2017-05-01 16:38:31.783
1,T,2017-05-01 16:38:31.851
0,E,2017-05-01 16:38:31.882
1,H,2017-05-01 16:38:31.919
0,I,2017-05-01 16:38:31.986
0,R,2017-05-01 16:38:32.137
1,I,2017-05-01 16:38:32.183
1,E,2017-05-01 16:38:32.207
0,Space,2017-05-01 16:38:32.261
1,R,2017-05-01 16:38:32.311
1,Space,2017-05-01 16:38:32.471
0,B,2017-05-01 16:38:32.580
1,B,2017-05-01 16:38:32.718
0,E,2017-05-01 16:38:32.781
0,F,2017-05-01 16:38:32.956
1,E,2017-05-01 16:38:32.992
0,O,2017-05-01 16:38:33.092
1,F,2017-05-01 16:38:33.127
0,R,2017-05-01 16:38:33.214
1,O,2017-05-01 16:38:33.287
0,E,2017-05-01 16:38:33.327
0,Space,2017-05-01 16:38:33.391
1,R,2017-05-01 16:38:33.399
0,M,2017-05-01 16:38:33.498
1,Space,2017-05-01 16:38:33.568
1,E,2017-05-01 16:38:33.584
0,A,2017-05-01 16:38:33.616
1,M,2017-05-01 16:38:33.647
0,Space,2017-05-01 16:38:33.678
1,Space,2017-05-01 16:38:33.719
0,N,2017-05-01 16:38:33.776
1,A,2017-05-01 16:38:33.839
0,Space,2017-05-01 16:38:33.897
1,N,2017-05-01 16:38:33.951
1,Space,2017-05-01 16:38:34.057
0,C,2017-05-01 16:38:34.073
0,H,2017-05-01 16:38:34.193
1,C,2017-05-01 16:38:34.247
0,I,2017-05-01 16:38:34.320
1,H,2017-05-01 16:38:34.359
1,I,2017-05-01 16:38:34.443
0,L,2017-05-01 16:38:34.459
0,I,2017-05-01 16:38:34.563
1,L,2017-05-01 16:38:34.599
1,I,2017-05-01 16:38:34.692
0,Back,2017-05-01 16:38:35.177
1,Back,2017-05-01 16:38:35.281
0,D,2017-05-01 16:38:35.296
1,D,2017-05-01 16:38:35.411
0,R,2017-05-01 16:38:35.473
0,E,2017-05-01 16:38:35.577
1,R,2017-05-01 16:38:35.639
0,N,2017-05-01 16:38:35.759
